公司名字:广州萝薇化妆品有限公司, 法人:黄犟兵, 地址:广州市白云区白云湖街夏茅十八社龙塘工业区A8栋B座第四、五层
公司名字:广州俊臣化妆品有限公司, 法人:李俊华, 地址:广州市白云区钟落潭镇金盆村金盆南路286号之一
公司名字:广州胜舜化妆品有限公司, 法人:陈前, 地址:广州市白云区黄石东路江夏村园下底路200号自编1栋工业楼501房（自主申报）
公司名字:广州诗妃生物科技有限公司, 法人:张申俊, 地址:广州市白云区人和镇鹤亭村秀盛路168号
公司名字:广州市依时美日用化工有限公司, 法人:范金汉, 地址:广州市白云区太和镇北村一社土名"横索"自编5号之一
公司名字:广州市白云区雅顿化妆品厂, 法人:房 召, 地址:广州市白云区人和镇建南村白象岭大道12号
公司名字:广州市美承化妆品有限公司, 法人:席莉, 地址:广州市白云区江高镇珠江村凤翔南路47号3栋
公司名字:广州和陆生物科技有限公司, 法人:黄文, 地址:广州市白云区南岭岗埔路五街4号六楼
公司名字:史蒂夫医药江苏有限公司, 法人:马超, 地址:新沂市经济开发区科创园A-5号
公司名字:佛山市贝德玛化妆品有限公司, 法人:张新龙, 地址:佛山市三水区乐平镇科勒大道13号5座F3一层（住所申报）
公司名字:广东圣雪颜生物科技有限公司, 法人:张志军, 地址:广东省佛山市三水区乐平镇三江公路33号1座（住所申报）
公司名字:吉林洁洁宝生物科技有限公司, 法人:马领霞, 地址:白城市洮北区经济开发区黄山路4601-5
公司名字:江西揽微生美生物科技有限公司, 法人:杨浩, 地址:江西省赣州市章贡区沙河镇武当山路1号
公司名字:中山卡丝生物科技有限公司, 法人:宁静, 地址:中山市南朗镇华南现代中医药城科技园2号厂房第1层A区、第4层
公司名字:鹤山市邦丽精细化工有限公司, 法人:周锦平, 地址:鹤山市龙口镇龙胜道19号之一
公司名字:安徽省丹皇本草科技有限公司, 法人:赵欣, 地址:安徽省六安经济技术开发区衡山路与九德路交叉口
公司名字:海南中和美业科技有限公司, 法人:张涛, 地址:海口市保税区C01号
公司名字:广东三慈生物科技有限公司, 法人:潘智祺, 地址:佛山市南海区狮山镇松夏社区科技西路15号2栋厂房（住所申报 ）
公司名字:潮州市亿修生物科技有限公司江东分厂, 法人:黄标杰, 地址:潮州市潮安区江东镇独树村第六街机沟北1号
公司名字:郑州依莱恩生物科技有限公司, 法人:石磊, 地址:河南省郑州市高新技术产业开发区西四环206号二层A6号
公司名字:天津威雅化妆品有限公司, 法人:关戎, 地址:津南区辛庄镇白塘口村南（原双鑫工业园区内）
公司名字:广州研智化妆品有限公司, 法人:许佑明, 地址:广州市黄埔区禾丰路89号2号楼402房
公司名字:蕉岭佰霖生物科技有限公司, 法人:钟清平, 地址:蕉岭县广福镇乐干工业基地
公司名字:广州洁康医药科技有限公司, 法人:王鹏雁, 地址:广州市白云区龙归南岭南业五横路16号二、三楼(自主申报)
公司名字:广州亿通精细化工有限公司, 法人:肖伟, 地址:广州市从化区广东从化经济开发区高技术产业园新兴路21号
公司名字:广州市高维化妆品有限公司, 法人:陈师银, 地址:广州市花都区富邦路8号之二101房，201房，202房，203房，301房，302房，303房
公司名字:广州市碧莹化妆品有限公司, 法人:刘永锋, 地址:广州市白云区钟落潭良田村23社良沙中路68号
公司名字:广州御清堂化妆品有限公司, 法人:刘善谋, 地址:广州市白云区太和镇南岭南业四横路2号
公司名字:广州市欧妃化妆品有限公司, 法人:张小文, 地址:广州市白云区夏良北王田路83号2栋3楼
公司名字:利康医药科技江苏有限公司, 法人:陆蓓蓓, 地址:丹阳市经济开发区生命科学产业园百胜路9号
公司名字:天津德瑞力科技发展有限公司, 法人:胡钦需, 地址:天津津南区双港镇双港经济开发区联东U谷研创产业园48号-3
公司名字:汕头市雨禧化妆品有限公司, 法人:林少勤, 地址:汕头市潮南区峡山街道广洋大道周凯迪工业区第1幢
公司名字:苏州艾妍生物科技有限公司, 法人:金弟, 地址:苏州工业园区同胜路1号
公司名字:天脊煤化工集团股份有限公司长治日化分公司, 法人:连旭斌, 地址:长治高新区德式工业园区
公司名字:广州奢嫩生物科技有限公司, 法人:王强, 地址:广州市白云区人和镇秀盛路鹤亭工业区北四路6号B02座（自主申报）
公司名字:广州名秀生物科技有限公司, 法人:陈洲成, 地址:广州市白云区均禾街罗岗五社22号（自主申报）
公司名字:广州市茗凯化妆品有限公司, 法人:苏勇, 地址:广州市白云区龙归街夏良东路21号2栋3楼301室
公司名字:广州九妆化妆品有限公司, 法人:向可伟, 地址:广州市花都区新雅街邦盛二路1号-4栋
公司名字:广州优悠化妆品有限公司, 法人:黄煜媛, 地址:广州市白云区太和镇龙归南村六社3号
公司名字:诺斯贝尔化妆品股份有限公司, 法人:范展华, 地址:广东省中山市南头镇东福北路50号；增设四处经营场所，具体为：1、广东省中山市南头镇永辉路82号；2、广东省中山市南头镇永辉路61号；3、广东省中山市三角镇得盈路1号；4、广东省中山市三角镇金祥路8号。（一照多址）
公司名字:东莞市建文洗涤用品有限公司, 法人:黄培略, 地址:广东省东莞市望牛墩镇朱平沙科技三路1号
公司名字:河源市云彩实业有限公司, 法人:熊文, 地址:河源高新区高新四路南边、兴工大道东边
公司名字:广东可莱恩生物科技有限公司, 法人:刘军, 地址:佛山市南海区里水镇胜利中金路2号广东新材料产业基地C座第四层402室（住所申报）
公司名字:广州市爱尼丝化妆品科技有限公司, 法人:王勇志, 地址:广州市白云区江高镇神山大道西369号2栋101房、501房（自主申报）
公司名字:广州远想医学生物技术有限公司, 法人:陈玉容, 地址:广东省广州市番禺区石碁镇华腾路22号8栋
公司名字:佛山市倩碧化妆品有限公司, 法人:杨燕媛, 地址:佛山市南海区大沥镇黄岐泌冲村&ldquo;烟斗岗&rdquo;泌冲路99号D座2楼.3楼
公司名字:佛山市南海朗肽生物制药工程研究院有限公司, 法人:李志清, 地址:南海狮山软件科技园
公司名字:佛山市金鸿博生物科技有限公司, 法人:黎卫文, 地址:佛山市南海区狮山镇松岗石泉中桥开发区6号（住所申报）
