店名: 盘锦中兴, 地址: 商东小区88-18-19, 省市: 辽宁省, 盘锦市
店名: 林丰, 地址: 林丰路东兴隆台街北, 省市: 辽宁省, 盘锦市
店名: 辽河, 地址: 双台区胜利路2-27-564, 省市: 辽宁省, 盘锦市
店名: 华商, 地址: 华润万家一楼, 省市: 辽宁省, 盘锦市
店名: 久柏埠, 地址: 红旗大街与渤海路交汇处西北角，全季酒店对面, 省市: 辽宁省, 盘锦市
店名: 双兴（万达）, 地址: 双兴南路71号万达广场2号门1035A C1001A肯德基, 省市: 辽宁省, 盘锦市
店名: 泰山路, 地址: 泰山路大润发超市, 省市: 辽宁省, 盘锦市
店名: 盘新餐厅, 地址: 兴隆台区中兴路大商城市广场新玛特地下一层, 省市: 辽宁省, 盘锦市
店名: 广厦DT, 地址: 兴隆台街10-5号广厦艺术街, 省市: 辽宁省, 盘锦市
