店名: 模范, 地址: 人民南路模范街南充大都会A幢一楼, 省市: 四川省, 南充市
店名: 文化, 地址: 文化路9号, 省市: 四川省, 南充市
店名: 北湖, 地址: 顺庆区文化路164号, 省市: 四川省, 南充市
店名: 南充滨江, 地址: 南门北街80号一层, 省市: 四川省, 南充市
店名: 金鱼岭-正阳路大润发一楼入口右侧, 地址: 北干道东侧龙呤路33号, 省市: 四川省, 南充市
店名: 南部肯德基, 地址: 红岩子大道西延线与国道212线东南角处1层, 省市: 四川省, 南充市
店名: 南充保利0817-3587211, 地址: 江东中路四段2号, 省市: 四川省, 南充市
店名: 阆中古城, 地址: 阆中市阆中市保宁镇西街76号B02铺一层, 省市: 四川省, 南充市
店名: 阆中古城甜品站, 地址: 市辖区保宁镇武庙街75号1-2铺一层, 省市: 四川省, 南充市
店名: 五国风情街, 地址: 高坪区望鹤路1F-23-25号王府井4号门, 省市: 四川省, 南充市
