店名: 沙县府前餐厅, 地址: 府前路民发商业广场一二层, 省市: 福建省, 三明市
店名: 永安南门, 地址: 燕江中路518号南门商厦一，二层, 省市: 福建省, 三明市
店名: 佳洁, 地址: 燕江南路1399号新佳洁购物广场一层, 省市: 福建省, 三明市
店名: 三明徐碧, 地址: 乾龙新村350栋一层, 省市: 福建省, 三明市
店名: 尤溪水东, 地址: 城关镇大润发肯德基, 省市: 福建省, 三明市
店名: 永安城上, 地址: 含笑大道1188号城上广场大润发一层商店街1号铺, 省市: 福建省, 三明市
店名: 永星国际, 地址: 东新4路永星国际广场大润发超市一层商店1号铺, 省市: 福建省, 三明市
店名: 三明万达, 地址: 东乾二路1号15幢三明万达广场1B061号商铺, 省市: 福建省, 三明市
店名: 三明东霞, 地址: 三元区新市南路99号三明永嘉天地8#楼负一层B0003号商铺, 省市: 福建省, 三明市
