店名: 本溪好佳餐厅, 地址: 平山区水塔路15号肯德基好佳店, 省市: 辽宁省, 本溪市
店名: 华联, 地址: 永丰商业区华联街1号, 省市: 辽宁省, 本溪市
店名: 本大, 地址: 解放北路4号（商业大商一楼肯德基）, 省市: 辽宁省, 本溪市
店名: 小市, 地址: 满族自治县小市镇长江路396号, 省市: 辽宁省, 本溪市
店名: 本溪站, 地址: 解放南路站前街3号（本溪火车站站内）地上一层, 省市: 辽宁省, 本溪市
店名: 龙宝, 地址: 龙宝路8号龙宝城市广场一楼, 省市: 辽宁省, 本溪市
店名: 本溪万达, 地址: 平山路118栋, 省市: 辽宁省, 本溪市
店名: 本溪万达甜品站, 地址: 平山路118栋, 省市: 辽宁省, 本溪市
店名: 本溪水洞外卖点, 地址: 谢家崴子村本溪水洞风景区售票处, 省市: 辽宁省, 本溪市
