店名: 新世纪, 地址: 新运大街54号, 省市: 辽宁省, 辽阳市
店名: 京都, 地址: 新运大街73号京都购物中心一楼, 省市: 辽宁省, 辽阳市
店名: 荣华, 地址: 汇华宫东荣华街北肯乐购超一层, 省市: 辽宁省, 辽阳市
店名: 时代广场, 地址: 佟二堡镇皮草大街东滨水商业街1号肯德基餐厅, 省市: 辽宁省, 辽阳市
店名: 辽阳万达, 地址: 新运大街333号万达广场1号门, 省市: 辽宁省, 辽阳市
店名: 贺尊餐厅, 地址: 首山镇人民街87号, 省市: 辽宁省, 辽阳市
店名: 井泉服务区, 地址: 灯塔市沈海高速公路沿线井泉服务区（西区）一层, 省市: 辽宁省, 辽阳市
店名: 井泉服务区东, 地址: 沈海高速公路沿线井泉服务区（东区）一层, 省市: 辽宁省, 辽阳市
店名: 辽阳万达甜品站, 地址: 新运大街333号万达广场, 省市: 辽宁省, 辽阳市
