店名: 经二, 地址: 经二路154号开元商城一层、二层, 省市: 陕西省, 宝鸡市
店名: 清姜, 地址: 清姜路46号e时代数码广场一层, 省市: 陕西省, 宝鸡市
店名: 宝鸡高新, 地址: 高新四路城市新天地61号, 省市: 陕西省, 宝鸡市
店名: 宝鸡金台, 地址: 金台大道五洲商厦一层, 省市: 陕西省, 宝鸡市
店名: 宝鸡, 地址: 经二路112号(宝商隔壁）, 省市: 陕西省, 宝鸡市
店名: 凤翔大十字, 地址: 东大街1号时代广场1层, 省市: 陕西省, 宝鸡市
店名: 陈仓东大街, 地址: 虢镇东大街金谷广场一楼肯德基, 省市: 陕西省, 宝鸡市
店名: 宝鸡银泰, 地址: 金台大道66号, 省市: 陕西省, 宝鸡市
店名: 宝鸡吾悦, 地址: 市辖区高新开发区渭滨大道388号新城吾悦广场, 省市: 陕西省, 宝鸡市
