店名: 府山, 地址: 叠障中路供销大厦一楼, 省市: 安徽省, 宣城市
店名: 宣城锦城, 地址: 叠障中路府山广场台客隆超市1楼, 省市: 安徽省, 宣城市
店名: 广德大润发, 地址: 广德市桃州镇万桂山路和纬二路交叉口西南侧大润发超市1楼, 省市: 安徽省, 宣城市
店名: 津河路苏果（津河西路苏果超市一楼）, 地址: 津河西路苏果超市一楼, 省市: 安徽省, 宣城市
店名: 国购, 地址: 叠嶂西路10号国购广场肯德基餐厅, 省市: 安徽省, 宣城市
店名: 郎溪苏果, 地址: 石佛山路与中港东路交叉口华润苏果一层, 省市: 安徽省, 宣城市
店名: 宣城大润发餐厅, 地址: 宣州区梅溪路大润发超市一楼, 省市: 安徽省, 宣城市
店名: 宁国大润发, 地址: 宁阳东路南侧, 省市: 安徽省, 宣城市
店名: 宣城万达, 地址: 经济技术开发区水阳大道与景德路交叉口的万达广场1035、1036B号商铺, 省市: 安徽省, 宣城市
店名: 绩溪一号, 地址: 绩溪县华阳镇扬之北路花园1号商业楼A5一层+二层、A6一层+二层、A7一层+二层, 省市: 安徽省, 宣城市
