店名: 上下杭, 地址: 上下杭历史文化街区下杭路93号, 省市: 福建省, 福州市
店名: 金峰餐厅, 地址: 金峰镇胪峰大道永康广场A座一、二层, 省市: 福建省, 福州市
店名: 万星影视城, 地址: 长乐市航城街道吴航路988号长乐万星青鸾广场一层, 省市: 福建省, 福州市
店名: 富力中心, 地址: 宁化街道祥坂街11号富力中心C区C4#楼1层01商业101-5号商铺, 省市: 福建省, 福州市
店名: 苏宁广场, 地址: 台江区宁化街道工业路233号的福州苏宁广场B13地块地下一层第B132号商铺, 省市: 福建省, 福州市
店名: 福峰路, 地址: 铺晋安区新店镇福峰路68号福州奥林匹克花园二期A地块国际交流中心一层5-111号商, 省市: 福建省, 福州市
店名: 贵安新天地, 地址: 潘渡乡贵安新天地贵江路4号奥特莱斯广场A-008、A-009铺, 省市: 福建省, 福州市
店名: 杨桥中路, 地址: 杨桥中路289号福州凤凰酒家杨桥中路一侧一层1号店面, 省市: 福建省, 福州市
店名: 稻田小镇餐厅, 地址: 南平东路98号稻田创业小镇A8号创维楼8108, 省市: 福建省, 福州市
店名: SS临时-福州肯德基市场, 地址: 海峡会展中心7号展厅, 省市: 福建省, 福州市
店名: 科技东路, 地址: 高新区科技东路9号万福中心1号楼1层东裙楼1层B01号商铺, 省市: 福建省, 福州市
店名: 连江万家, 地址: 凤城镇马祖西路10号万家城市广场5#楼1078号商铺, 省市: 福建省, 福州市
