店名: 文山, 地址: 阳明东路22号一层, 省市: 江西省, 吉安市
店名: 吉安庐陵, 地址: 文山路与凤凰路交汇处（庐陵商业大世界）, 省市: 江西省, 吉安市
店名: 吉安人民广场, 地址: 广场西路新世界广场1F, 省市: 江西省, 吉安市
店名: 武功山, 地址: 武功山大道国光购物中心一层肯德基, 省市: 江西省, 吉安市
店名: 泰和大道, 地址: 嘉禾大道南侧泽盛中心城天虹一层肯德基餐厅, 省市: 江西省, 吉安市
店名: 三湾大道, 地址: 永新县长途汽车站北侧路梦时代广场一层, 省市: 江西省, 吉安市
店名: 吉州大道, 地址: 吉州大道西、正丙角以东、鹭洲西路以南、广场西路以北景虹印象城一层, 省市: 江西省, 吉安市
店名: 青原大道, 地址: 青原区青原大道以西金鑫未来港一层, 省市: 江西省, 吉安市
店名: 五云路, 地址: 万安县东风路东侧万象国际一层, 省市: 江西省, 吉安市
