店名: 梅溪湖, 地址: 枫林三路1099号梅溪湖步步高新天地梅溪大街L1, 省市: 湖南省, 长沙市
店名: 梅溪湖精选, 地址: 步步高梅溪新天地B1层B36号（超市入口处）, 省市: 湖南省, 长沙市
店名: 福元路, 地址: 福元路148号河马公园（原名万科金MALL坊）1层, 省市: 湖南省, 长沙市
店名: 双拥路, 地址: 双拥路66号科大佳园北苑2期6栋（整单元）4层401（肯德基餐厅）, 省市: 湖南省, 长沙市
店名: 芙蓉南站, 地址: 芙蓉区长株潭城际铁路长沙芙蓉南站候车大厅2号, 省市: 湖南省, 长沙市
店名: 时代奥莱, 地址: 金州新区金水东路与欧洲北路交汇处东北角长沙时代奥特莱斯一层C区, 省市: 湖南省, 长沙市
店名: 劳动路餐厅, 地址: 韶山中路18号号中机国际大厦裙楼一楼, 省市: 湖南省, 长沙市
店名: 望府路, 地址: 高塘岭街道唯罗克路与望府路西南角正荣财富中心, 省市: 湖南省, 长沙市
店名: 沙湾公园, 地址: 体育新城劳动东路260号天虹商场, 省市: 湖南省, 长沙市
店名: 金星大道, 地址: 普瑞大道与金星大道交叉口天恒商业广场一层肯德基餐厅, 省市: 湖南省, 长沙市
店名: 沙湾路, 地址: 雨花区体育新城劳动东路268号保利MALL1楼, 省市: 湖南省, 长沙市
店名: 浏阳北正西, 地址: 北正西路西侧的九方商场一层及三层, 省市: 湖南省, 长沙市
店名: 湘龙路, 地址: 长沙县星沙镇土桥村、高沙村湘龙路以北长沙保利广场一层, 省市: 湖南省, 长沙市
店名: 板仓路, 地址: 长沙经开区板仓南路以西南山路以南中茂商业广场负一楼, 省市: 湖南省, 长沙市
店名: 春城万象, 地址: 宁乡县玉潭镇春城万象广场1栋天虹广场一层, 省市: 湖南省, 长沙市
店名: 侯家塘, 地址: 雨花区芙蓉中路641号综合楼, 省市: 湖南省, 长沙市
店名: 汇一城, 地址: 东岸乡新安村星沙大道与远大路交汇处725号汇一城B栋128-130门面, 省市: 湖南省, 长沙市
店名: 新西站外卖点, 地址: 湘江综合交通枢纽客运站换乘大楼一层, 省市: 湖南省, 长沙市
店名: 杜鹃路, 地址: 岳麓区杜鹃路99号天骄福邸综合楼综合楼栋101一层, 省市: 湖南省, 长沙市
店名: 九龙仓, 地址: 东牌楼长沙国金中心商场地下一层LG109A号商铺, 省市: 湖南省, 长沙市
店名: 汇金路, 地址: 天心区万家丽南路二段989号1层, 省市: 湖南省, 长沙市
店名: 黄花机场出发层外卖站（安检外）, 地址: 黄花国际机场T2航站楼三楼出发层D岛, 省市: 湖南省, 长沙市
店名: 黄金大道, 地址: 望城区月亮岛街道中华岭村润和星城润和彩虹MALL一层, 省市: 湖南省, 长沙市
店名: 麓谷林语餐厅, 地址: 桐梓坡西路408号保利麓谷林语小区若比邻商业广场一楼肯德基, 省市: 湖南省, 长沙市
店名: 凤凰海, 地址: 新河三角洲平沙路凤凰海一层, 省市: 湖南省, 长沙市
店名: 学士路, 地址: 学士路177号福天洋湖时代苑17栋一层, 省市: 湖南省, 长沙市
店名: 百联, 地址: 黄兴中路188号乐和城北入口一层, 省市: 湖南省, 长沙市
店名: 左家塘外卖站, 地址: 曙光中路56号一层, 省市: 湖南省, 长沙市
店名: 浏阳天虹, 地址: 庆泰路天虹百货一层肯德基, 省市: 湖南省, 长沙市
店名: 百联奥莱, 地址: 长沙县黄金大道以西、天祥路以南长沙临空经济区百联奥特莱斯购物广场（一期）路一层, 省市: 湖南省, 长沙市
店名: 沐风路, 地址: 岳麓区梅溪湖弘德西街二期17栋弘坤花样汇一层, 省市: 湖南省, 长沙市
店名: 侯家塘, 地址: 劳动西路380号一层, 省市: 湖南省, 长沙市
店名: 机场国际厅外卖站, 地址: 长沙县长沙黄花国际机场T2航站楼国际候机厅旅客通道一侧的肯德基品牌西式快餐项目, 省市: 湖南省, 长沙市
店名: 叮叮MALL, 地址: 劳动西路337号叮叮商业广场B1层1001、B2层2026、2027、2028号商铺, 省市: 湖南省, 长沙市
店名: 喜盈门, 地址: 雨花区万家丽路与木莲路交汇处喜盈门范城1号栋一层, 省市: 湖南省, 长沙市
店名: 松雅湖, 地址: 东四路以西、望仙路以北新城吾悦广场1018号商铺, 省市: 湖南省, 长沙市
店名: 砂之船肯德基, 地址: 望城区金星大道砂之船(长沙)奥莱项目LG层, 省市: 湖南省, 长沙市
