店名: 海联, 地址: 胜利大街5号龙凤新天地一层, 省市: 内蒙古, 呼伦贝尔市
店名: 中苏街, 地址: 北区三道街141号, 省市: 内蒙古, 呼伦贝尔市
店名: 巴尔虎, 地址: 巴尔虎东路19号发达广场, 省市: 内蒙古, 呼伦贝尔市
店名: 发达, 地址: 建设路东侧，发达广场一楼, 省市: 内蒙古, 呼伦贝尔市
店名: 中央路, 地址: 中央路发达广场一楼, 省市: 内蒙古, 呼伦贝尔市
店名: 满洲里万达, 地址: 华阜大街万达广场, 省市: 内蒙古, 呼伦贝尔市
店名: 新伊仕丹, 地址: 桥头街1号, 省市: 内蒙古, 呼伦贝尔市
店名: 尼尔基, 地址: 尼尔基路, 省市: 内蒙古, 呼伦贝尔市
店名: 伊士丹独立甜品站, 地址: 桥头街11号伊士丹购物广场1层, 省市: 内蒙古, 呼伦贝尔市
店名: 海拉尔东山机场, 地址: 东山上东山机场2层, 省市: 内蒙古, 呼伦贝尔市
店名: 东山机场外卖点, 地址: 东山机场2层, 省市: 内蒙古, 呼伦贝尔市
