店名: 天津桥(老百盛一楼2230921）, 地址: 安昌路17号富临大厦一楼(老百盛2230921）, 省市: 四川省, 绵阳市
店名: 科技桥, 地址: 临园路东段74号, 省市: 四川省, 绵阳市
店名: 新涪城, 地址: 涪城路28号美一天百货一楼, 省市: 四川省, 绵阳市
店名: 公园口, 地址: 临园路东段58号, 省市: 四川省, 绵阳市
店名: 长虹国际城, 地址: 跃进路6号长虹国际城缤纷时代购物广场一楼, 省市: 四川省, 绵阳市
店名: 新金轮, 地址: 金轮干道12号一层, 省市: 四川省, 绵阳市
店名: 涪城万达, 地址: 花园路9号万达广场二楼2066号商铺, 省市: 四川省, 绵阳市
店名: 绵阳火车站, 地址: 火车站候车大厅一楼集散厅, 省市: 四川省, 绵阳市
店名: 李白大道, 地址: 李白大道南二段1号宝龙广场一层M-F1-060号, 省市: 四川省, 绵阳市
店名: 绵阳经开万达, 地址: 经开区三江大道16号-18号万达广场1033号商铺, 省市: 四川省, 绵阳市
