店名: 白天鹅(永兴二期底商）, 地址: 南营子大街东侧永兴大厦, 省市: 河北省, 承德市
店名: 翠桥, 地址: 南营子大街裘翠楼一层, 省市: 河北省, 承德市
店名: 围场, 地址: 美神大厦1层, 省市: 河北省, 承德市
店名: 平泉, 地址: 平泉镇八沟大街东侧、迎宾街南侧水岸华庭第三座38号商铺, 省市: 河北省, 承德市
店名: 双滦, 地址: 宜佳旺国际广场底商, 省市: 河北省, 承德市
店名: 双安, 地址: 南营子大街12号大佟沟口新双安商场一、二层, 省市: 河北省, 承德市
店名: 宽城, 地址: 宽广超广场店, 省市: 河北省, 承德市
店名: 西大街, 地址: 西大街大庆路2号, 省市: 河北省, 承德市
店名: 世纪城, 地址: 世纪城3期4号楼, 省市: 河北省, 承德市
店名: 丰宁餐厅, 地址: 大阁镇新丰路57号一层, 省市: 河北省, 承德市
店名: 承德大学城餐厅, 地址: 开发区地标号B-1-7宽广时代广场一层1号, 省市: 河北省, 承德市
