店名: 榆林新建, 地址: 新建北路89号（转角楼肯德基）喜洋洋商厦一层, 省市: 陕西省, 榆林市
店名: 榆阳--第一小学对面, 地址: 新楼巷肯德基（第一小学对面）, 省市: 陕西省, 榆林市
店名: 大洋, 地址: 肤施路国美电器一二层肯德基, 省市: 陕西省, 榆林市
店名: 麟州, 地址: 神木东兴街小广场, 省市: 陕西省, 榆林市
店名: 府谷河滨, 地址: 河滨东路145号一层肯德基, 省市: 陕西省, 榆林市
店名: 榆林航宇, 地址: 航宇路沙河口村农贸场一层, 省市: 陕西省, 榆林市
店名: 名州, 地址: 西山大街绥德文化广场, 省市: 陕西省, 榆林市
店名: 榆林文化南路, 地址: 文化南路与保宁路十字（榆星广场）, 省市: 陕西省, 榆林市
店名: 榆林万达, 地址: 市辖区高新区长兴路175号, 省市: 陕西省, 榆林市
