店名: 新华昌, 地址: 华昌文化广场天悦城一楼, 省市: 吉林省, 长春市
店名: 万豪餐厅, 地址: 二道区净月大街1号地上一层, 省市: 吉林省, 长春市
店名: 恒星, 地址: 解放大路负110号恒星国际4号楼1层, 省市: 吉林省, 长春市
店名: 欧亚商都甜品站, 地址: 朝阳区工农大路1128（欧亚商都）地下一层超市入口旁, 省市: 吉林省, 长春市
店名: 净月奥莱, 地址: 市辖区净月高新技术产业开发区永顺路388号, 省市: 吉林省, 长春市
店名: 汇集, 地址: 市辖区开发区飞跃路2566号, 省市: 吉林省, 长春市
店名: 摩天活力城, 地址: 二道区卫星路1777号, 省市: 吉林省, 长春市
店名: 净月奥莱外卖点, 地址: 高新技术开发区永顺路388号, 省市: 吉林省, 长春市
店名: 万科缤纷里, 地址: 永宁路与东莱北街交汇处万科缤纷里一层, 省市: 吉林省, 长春市
店名: 圣马可广场甜品站, 地址: 亚泰大街1138号新天地购物公园三楼, 省市: 吉林省, 长春市
店名: 吉大一院, 地址: 朝阳区新民大街71号吉大一院二号楼地上二层, 省市: 吉林省, 长春市
店名: 宽城万达餐厅, 地址: 北人民大街与铁北二路交汇处宽城万达广场1层1007铺位, 省市: 吉林省, 长春市
店名: 公平路, 地址: 东盛大街2988号, 省市: 吉林省, 长春市
店名: 活力城甜品站, 地址: 重庆路18号活力城4层, 省市: 吉林省, 长春市
店名: 钜城, 地址: 华惠路钜城华億购物广场1层, 省市: 吉林省, 长春市
店名: 北湖吴中, 地址: 市辖区经济开发区北区远达大街吴中北国之春B区一期1#楼, 省市: 吉林省, 长春市
