店名: 东门, 地址: 人民中路六路口东门商业广场B幢1、2层, 省市: 广西, 玉林市
店名: 北流, 地址: 城西一路003号凯达商厦一楼, 省市: 广西, 玉林市
店名: 银丰, 地址: 银丰广场大润发购物广场一层, 省市: 广西, 玉林市
店名: 玉林百货公司, 地址: 人民中路737号玉林百货公司南江大楼一层, 省市: 广西, 玉林市
店名: 博白, 地址: 南洲南路147号博白宝中宝购物广场一层、二层, 省市: 广西, 玉林市
店名: 容县, 地址: 容州镇西大街1号东风大楼一层、二层, 省市: 广西, 玉林市
店名: 玉林火车站, 地址: 中秀路玉林火车站大楼一层到达层, 省市: 广西, 玉林市
店名: 万利, 地址: 一环东路西北侧花园酒店西侧百花汇购物广场1层, 省市: 广西, 玉林市
店名: 玉林万达, 地址: 金玉路338号玉林万达广场一层, 省市: 广西, 玉林市
店名: 玉林陆川, 地址: 陆川县三峰东路8号陆川中浩城地王广场一层, 省市: 广西, 玉林市
店名: 玉林南兴, 地址: 站前路南侧南兴广场1层, 省市: 广西, 玉林市
