店名: 六安皖西, 地址: 皖西路与梅山路交汇口新都会广场, 省市: 安徽省, 六安市
店名: 舒城新世界, 地址: 舒城新世界肯德基（梅河路与鼓楼街交叉口一楼）, 省市: 安徽省, 六安市
店名: 霍邱商之都(早餐06：00-23：00）, 地址: 城关镇商之都一楼, 省市: 安徽省, 六安市
店名: 六安徽宁记, 地址: 解放路浙东商贸城时代超市, 省市: 安徽省, 六安市
店名: 六安万达3334490, 地址: 球拍东路东侧3334490, 省市: 安徽省, 六安市
店名: 霍山苏果, 地址: 中兴路华润苏果超市, 省市: 安徽省, 六安市
店名: 海心沙, 地址: 裕安区梅山北路与长安路交口西北角, 省市: 安徽省, 六安市
店名: 六安火车站, 地址: 裕安区六安火车站铺位号LA-2F-08, 省市: 安徽省, 六安市
店名: 金商都, 地址: 皖西路176号一层 0564-3218822, 省市: 安徽省, 六安市
店名: 明发广场, 地址: 将军大道明发广场31#楼1F, 省市: 安徽省, 六安市
