店名: 新展路, 地址: 容桂容里居委会新展路28号荟景花园首层, 省市: 广东省, 佛山市
店名: 顺德大信, 地址: 大良街道德和居委会新城区彩虹路1号大信新都汇顺德店首层L1049, 省市: 广东省, 佛山市
店名: 顺德大信甜品站, 地址: 顺德区大良街道彩虹路1号大信新都汇三楼, 省市: 广东省, 佛山市
店名: 怡海港, 地址: 桂城街道简平路7号南舜广场5座2栋首层1019-1024号铺, 省市: 广东省, 佛山市
店名: 佛山乐平大道-DT, 地址: 三水区乐平镇乐平大道38号5座一楼, 省市: 广东省, 佛山市
店名: 小塘, 地址: 狮山镇小塘四环路66号紫悦明都一层自编1F001二层自编2F001, 省市: 广东省, 佛山市
店名: 汇翠广场, 地址: -07铺桂城街平东社区柏丽翡翠大道7-10号信汇广场1首层自编号JP1-05、P1, 省市: 广东省, 佛山市
店名: 山海名门, 地址: 里水镇洲村里广路2号广物国际广场首层L1-01A号铺, 省市: 广东省, 佛山市
店名: 万科金域中央, 地址: 桂城街道永胜东路4号金域中央万科里(备案名万科金域花园)28栋28-101, 省市: 广东省, 佛山市
店名: 天虹, 地址: 号铺石湾街道天虹购物中心负一楼B1017号铺, 省市: 广东省, 佛山市
店名: 兆阳广场, 地址: 华远路63号兆阳广场首层A-07、A-08商铺, 省市: 广东省, 佛山市
店名: 金沙洲金铂, 地址: 南海区大沥镇黄岐建设大道33号万益广场S2栋金铂天地首层肯德基餐厅, 省市: 广东省, 佛山市
店名: 灯湖领秀, 地址: 南海区桂城南海大道8号首层A区1F-16A号、17号、18号铺, 省市: 广东省, 佛山市
店名: 灯湖领秀, 地址: 桂城南海大道8号首层A区1F-16A号、17号、18号铺, 省市: 广东省, 佛山市
店名: 美的悦然广场, 地址: 北滘镇君兰居委会林上北路诚德路1号美的悦然广场负一层B1021-B1022, 省市: 广东省, 佛山市
店名: 狮山大学城, 地址: 狮山镇狮山科技软件园（生活一区一号餐厅）首层, 省市: 广东省, 佛山市
店名: 佛山万科金融中心, 地址: 季华五路57号地下一层三号之一, 省市: 广东省, 佛山市
店名: 罗村DT, 地址: 南海区狮山镇罗村村罗东股份合作经济社地段, 省市: 广东省, 佛山市
店名: 东菱广场, 地址: 54号铺位勒流街道办事处勒流社区居民委员会政和北路15号东菱帝苑首层自编51、52、, 省市: 广东省, 佛山市
店名: 石湾文创园, 地址: 石湾街道镇中路4号文创园肯德基, 省市: 广东省, 佛山市
店名: 华南创谷, 地址: 市辖区张槎一路115号一座首层6号铺, 省市: 广东省, 佛山市
