店名: 抚州临川, 地址: 大公路81号, 省市: 江西省, 抚州市
店名: 抚州融旺, 地址: 赣东大道345号融旺国际沃尔玛一楼肯德基, 省市: 江西省, 抚州市
店名: 东乡龙山, 地址: 龙山路中央购物公园, 省市: 江西省, 抚州市
店名: 抚州金巢, 地址: 青云峰路大润发一楼, 省市: 江西省, 抚州市
店名: 南丰桔都, 地址: 桔苑北路凯升购物广场, 省市: 江西省, 抚州市
店名: 迎宾大道, 地址: 迎宾大道万达广场一号门一楼肯德基, 省市: 江西省, 抚州市
店名: 硕果, 地址: 金巢大道以西、竹山路以北“硕果.中心”一层, 省市: 江西省, 抚州市
店名: 抚州才子巷, 地址: 临川大道南侧才子巷一层L1-02号商铺, 省市: 江西省, 抚州市
店名: 南城服务区（东）餐厅, 地址: 济广高速公路鹰瑞段K1236+284公桩南城服务区（东区）, 省市: 江西省, 抚州市
店名: 南城服务区（西）餐厅, 地址: 济广高速公路鹰瑞段K1236+284公桩南城服务区（西区）, 省市: 江西省, 抚州市
