店名: 营口东升, 地址: 东升路30号(大福源一楼), 省市: 辽宁省, 营口市
店名: 昆仑, 地址: 昆仑大街39号, 省市: 辽宁省, 营口市
店名: 西海, 地址: 沈大高速公路沿线西海服务区（西区）接待室一层, 省市: 辽宁省, 营口市
店名: 哈大, 地址: 长征街实验里一层, 省市: 辽宁省, 营口市
店名: 平安, 地址: 渤海大街西60号, 省市: 辽宁省, 营口市
店名: 华阳, 地址: 红旗大街中段兴隆百货东侧华阳商厦一、二层, 省市: 辽宁省, 营口市
店名: 西海DT, 地址: 沈大高速公路沿线西海服务区（东区）接待室, 省市: 辽宁省, 营口市
店名: 万达财富, 地址: 市府路南1号2001B号, 省市: 辽宁省, 营口市
店名: 渤海, 地址: 渤海大街东1号, 省市: 辽宁省, 营口市
店名: 万隆, 地址: 昆仑大街18号万隆广场东南角一层, 省市: 辽宁省, 营口市
店名: 大石桥大润发, 地址: 朝阳路与繁荣大街交汇处东北角, 省市: 辽宁省, 营口市
