店名: 第五大道, 地址: 群力景江东路899号王府井购物中心四楼, 省市: 黑龙江省, 哈尔滨市
店名: 华泰, 地址: 巴彦镇东直路与集市路交口华泰购物中心一层, 省市: 黑龙江省, 哈尔滨市
店名: 艺汇家, 地址: 南岗区红旗大街240号(艺汇家一层）, 省市: 黑龙江省, 哈尔滨市
店名: 第六大道, 地址: 群力新区群力第六大道与崂山路交口处, 省市: 黑龙江省, 哈尔滨市
店名: 景江东路独立甜品站, 地址: 群力景江东路899号王府井购物中心室内B1层, 省市: 黑龙江省, 哈尔滨市
店名: 新锐汇, 地址: 东大直街320号(秋林国际内), 省市: 黑龙江省, 哈尔滨市
店名: 新乐松独立甜品站, 地址: 三大动力路278号乐松广场二楼, 省市: 黑龙江省, 哈尔滨市
店名: 爱建卓展, 地址: 上海街99号卓展购物中心二期, 省市: 黑龙江省, 哈尔滨市
店名: 万达茂独立甜品站, 地址: 松北区世贸大道99号松北万达广场三楼, 省市: 黑龙江省, 哈尔滨市
店名: 尚志服务区, 地址: 哈牡高速公路150公里处尚志服务区, 省市: 黑龙江省, 哈尔滨市
店名: 阳光度假村, 地址: 亚布力滑雪旅游度假区亚布力阳光度假村4#酒店式公寓B区原车库一层, 省市: 黑龙江省, 哈尔滨市
店名: 中央公园比优特独立甜品站, 地址: 黄河路红博中央公园地下富二层比优特超市旁, 省市: 黑龙江省, 哈尔滨市
店名: 五常新天地, 地址: 五常市文苑街新天地购物广场10号商服, 省市: 黑龙江省, 哈尔滨市
店名: 新哈站, 地址: 南岗区海关街182-2沪士大厦一层, 省市: 黑龙江省, 哈尔滨市
店名: 黑大中央红, 地址: 学府路74号, 省市: 黑龙江省, 哈尔滨市
店名: 江畔, 地址: 中央大街259号, 省市: 黑龙江省, 哈尔滨市
店名: 江畔甜品站二, 地址: 友谊路257号一层6号商铺, 省市: 黑龙江省, 哈尔滨市
店名: 江畔万达甜品站, 地址: 友谊路167-217号悦荟广场A座一层中庭, 省市: 黑龙江省, 哈尔滨市
店名: 松浦大桥, 地址: 松北区松浦大道西侧与浦源路拐角处, 省市: 黑龙江省, 哈尔滨市
店名: SY1162, 地址: 世茂大道与聚源街交汇处哈尔滨万象汇购物中心三楼L330号铺位, 省市: 黑龙江省, 哈尔滨市
店名: 松北万象汇甜品站, 地址: 世茂大道与聚源街交汇处哈尔滨万象汇购物中心二楼L270号铺位, 省市: 黑龙江省, 哈尔滨市
店名: 群力银泰城, 地址: 群力第二大道750号一层1009号商铺, 省市: 黑龙江省, 哈尔滨市
店名: 新先锋餐厅, 地址: 先锋路471号居然之家一楼肯德基, 省市: 黑龙江省, 哈尔滨市
店名: 和兴商厦, 地址: 西大直街400号, 省市: 黑龙江省, 哈尔滨市
店名: 群力银泰城甜品站2, 地址: 群力第二大道750号三层3063号商铺, 省市: 黑龙江省, 哈尔滨市
店名: 群力银泰城甜品站, 地址: 群力第二大道750号地下一层, 省市: 黑龙江省, 哈尔滨市
店名: 哈尔滨吾悦, 地址: 清华大街235号, 省市: 黑龙江省, 哈尔滨市
店名: SS临时-哈尔滨肯德基市场, 地址: 友谊路167-217号, 省市: 黑龙江省, 哈尔滨市
店名: 淮河路, 地址: 南岗区淮河路105号, 省市: 黑龙江省, 哈尔滨市
店名: 汇智五洲城DT, 地址: 长江路与香坊南北路交口汇智五洲商场一楼, 省市: 黑龙江省, 哈尔滨市
店名: 哈西万达, 地址: 中兴大街168号万达购物广场三楼, 省市: 黑龙江省, 哈尔滨市
